Wed Oct 08 21:21:03 CST 2014
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1412774403275,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774408275,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774413275,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774418275,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774423275,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774428274,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774433274,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774438274,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774443275,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774448275,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774453275,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774458275,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774463274,5,25,5,0,17,0,0,0,0,0,0,0,0
Wed Oct 08 21:23:54 CST 2014
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1412774574171,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774579170,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774584170,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774589171,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774594170,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774599170,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774604171,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774609170,5,25,5,0,17,0,0,0,0,0,0,0,0
1412774614171,5,25,5,0,17,1,0,0,1,0,0,0,0
1412774619171,5,25,5,0,17,0,0,41,1,34,1,1,0
1412774624170,5,25,5,0,17,0,0,49,1,44,1,0,0
1412774629171,5,25,5,0,17,0,0,50,1,46,1,0,0
1412774634171,5,25,5,0,17,0,0,58,1,50,1,0,0
1412774639170,5,25,5,0,17,0,0,60,0,52,1,0,0
